대학,권역,자료학년도,자료집역할,민간자료링크,자료집명,근거등급,최종확인일
성결대,경인권,2028,탐색용 링크,https://drive.google.com/open?id=1G-9S6Ei9uaS9WBTSfAIowlgLxPNg9deh&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
수원대,경인권,2028,탐색용 링크,https://drive.google.com/open?id=1GKrDDOqpL0SrslMneIfmGQL2V2hF-mQf&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
아신대,경인권,2028,탐색용 링크,https://drive.google.com/open?id=1XVLv7_94zZ8p6IGPNO-AH15Ko4Hidpdf&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
아주대,경인권,2028,탐색용 링크,https://drive.google.com/open?id=1FsckQLWac-gUqnV818IPD5PEWLPjDWsH&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
인천가톨릭대,경인권,2028,탐색용 링크,https://drive.google.com/open?id=1FVqes48DYehivwha6Z99WrL6eKSQoOcE&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
인하대,경인권,2028,탐색용 링크,https://drive.google.com/open?id=1BFSODr4S3qtei-xyuaXyYzj9Wqjqyy8s&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
한국항공대,경인권,2028,탐색용 링크,https://drive.google.com/open?id=13KzzOuoR3qfxFBo8mi5u7CFHrvqbKB6A&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
협성대,경인권,2028,탐색용 링크,https://drive.google.com/open?id=14UKpWGL_6SIyySl6h-NOww75IgaGTkw-&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
화성의과학대,경인권,2028,탐색용 링크,https://drive.google.com/open?id=1DB8jr28MuAuyaGcOYrFK-FkuZmPeDnNC&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
건국대(글로컬),충청권,2028,탐색용 링크,https://drive.google.com/open?id=15fjKqq-7u5LzrjlX2tBuowVPSEa938yb&usp=drive_copy,이즈유 2028 대학별 이수 권장 과목 정리 자료집,C-공식원문 탐색용,2026-08-18
